# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_scf            16:(.)p_scf              17:(.)w_scf              18:phi_scf               19:phi'_scf              20:V_scf                 21:V'_scf                22:V''_scf               23:gr.fac. D             24:gr.fac. f          
       9.326212236469e+13       8.690109267060e-26       4.969479050487e-09       1.876595376800e+22       4.616060425804e+03       4.949555413025e-11       4.305035922741e+17       2.869287227187e-09       2.081614238068e+44       1.988512843847e+33       1.086497713064e+34       2.985121549152e-08       1.439995970030e+44       3.521610208226e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -7.224392178833e-42       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       8.742019518415e-06       1.433565615564e+01 
       9.261382558559e+13       8.812196612153e-26       5.004949343856e-09       1.850596348697e+22       4.616060425804e+03       4.984202300916e-11       4.275110151680e+17       2.889372237778e-09       2.024334923495e+44       1.947331947224e+33       1.063997003481e+34       2.985121549152e-08       1.400371922191e+44       3.424706845811e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -7.983070662982e-42       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       9.616221470256e-06       1.303241468694e+01 
       9.197003533823e+13       8.935999162357e-26       5.039510142524e-09       1.824957520492e+22       4.616060425804e+03       5.019091717023e-11       4.245392404846e+17       2.909597843442e-09       1.968631751041e+44       1.907003882029e+33       1.041962269965e+34       2.985121549152e-08       1.361838200436e+44       3.330469951600e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -8.749398799753e-42       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       1.049042342210e-05       1.194638012970e+01 
       9.133072029615e+13       9.061541014589e-26       5.074980435893e-09       1.799673901845e+22       4.616060425804e+03       5.054225359042e-11       4.215881236192e+17       2.929965028346e-09       1.914461350357e+44       1.867510986638e+33       1.020383862434e+34       2.985121549152e-08       1.324364802505e+44       3.238826152983e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -9.523654657759e-42       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       1.136462537394e-05       1.102742781203e+01 
       9.069584935070e+13       9.188846604302e-26       5.110450729262e-09       1.774740571556e+22       4.616060425804e+03       5.089604936555e-11       4.186575209724e+17       2.950474783544e-09       1.861781544502e+44       1.828835965191e+33       9.992523306542e+33       2.985121549152e-08       1.287922551705e+44       3.149704096326e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -1.030612057478e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       1.223882732578e-05       1.023975439688e+01 
       9.006539160943e+13       9.317940710246e-26       5.145921022631e-09       1.750152676602e+22       4.616060425804e+03       5.125232171111e-11       4.157472899428e+17       2.971128107029e-09       1.810551317112e+44       1.790961880015e+33       9.785584200989e+33       2.985121549152e-08       1.252483074190e+44       3.063034391418e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -1.109708327036e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       1.311302927762e-05       9.557104103757e+00 
       8.943931639467e+13       9.448848459284e-26       5.182300810702e-09       1.725905431200e+22       4.616060425804e+03       5.161108796309e-11       4.128572889204e+17       2.991926003778e-09       1.760730780460e+44       1.753872144203e+33       9.582930678975e+33       2.985121549152e-08       1.218018776871e+44       2.978749557444e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -1.189683396051e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       1.398723122946e-05       8.959785097272e+00 
       8.881759324197e+13       9.581595331288e-26       5.218680598773e-09       1.701994115866e+22       4.616060425804e+03       5.197236557883e-11       4.099873772794e+17       3.012869485804e-09       1.712281144399e+44       1.717550514356e+33       9.384473988662e+33       2.985121549152e-08       1.184502825932e+44       2.896783970443e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -1.270566847446e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       1.486143318130e-05       8.432738915079e+00 
       8.820019189868e+13       9.716207164097e-26       5.255060386844e-09       1.678414076505e+22       4.616060425804e+03       5.233617213788e-11       4.071374153718e+17       3.033959572205e-09       1.665164686165e+44       1.681981083465e+33       9.190127216208e+33       2.985121549152e-08       1.151909125938e+44       2.817073812212e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -1.352388737366e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       1.573563513314e-05       7.964253419797e+00 
       8.758708232243e+13       9.852710158545e-26       5.291440174915e-09       1.655160723501e+22       4.616060425804e+03       5.270252534285e-11       4.043072645202e+17       3.055197289210e-09       1.619344721000e+44       1.647148273944e+33       8.999805247701e+33       2.985121549152e-08       1.120212299515e+44       2.739557020621e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -1.435179607297e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       1.660983708498e-05       7.545082187175e+00 
       8.697823467967e+13       9.991130883562e-26       5.328729457688e-09       1.632229530823e+22       4.616060425804e+03       5.307144302025e-11       4.014967870111e+17       3.076583670235e-09       1.574785573594e+44       1.613036830811e+33       8.813424731891e+33       2.985121549152e-08       1.089387667592e+44       2.664173241290e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -1.518970496409e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       1.748403903682e-05       7.167828077816e+00 
       8.637361934426e+13       1.013149628135e-25       5.366018740460e-09       1.609616035145e+22       4.616060425804e+03       5.344294312139e-11       3.987058460885e+17       3.098119755926e-09       1.531452550306e+44       1.579631815005e+33       8.630904043679e+33       2.985121549152e-08       1.059411230189e+44       2.590863780597e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -1.603792954132e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       1.835824098866e-05       6.826502931254e+00 
       8.577320689599e+13       1.027383367260e-25       5.403308023233e-09       1.587315834980e+22       4.616060425804e+03       5.381704372324e-11       3.959343059468e+17       3.119806594217e-09       1.489311912151e+44       1.546918596845e+33       8.452163248374e+33       2.985121549152e-08       1.030259647727e+44       2.519571559978e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -1.689679052978e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       1.923244294050e-05       6.516207343469e+00 
       8.517696811915e+13       1.041817076187e-25       5.441506800707e-09       1.565324589818e+22       4.616060425804e+03       5.419376302930e-11       3.931820317248e+17       3.141645240377e-09       1.448330848536e+44       1.514882849619e+33       8.277124066682e+33       2.985121549152e-08       1.001910222855e+44       2.450241071488e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -1.776661401594e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       2.010664489234e-05       6.232893980709e+00 
       8.458487400115e+13       1.056453564290e-25       5.479705578182e-09       1.543638019285e+22       4.616060425803e+03       5.457311937050e-11       3.904488894983e+17       3.163636757059e-09       1.408477451704e+44       1.483510543315e+33       8.105709840428e+33       2.985121549152e-08       9.743408827823e+43       2.382818334582e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -1.864773158068e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       2.098084684418e-05       5.973190064846e+00 
       8.399689573103e+13       1.071295680415e-25       5.517904355656e-09       1.522251902310e+22       4.616060425803e+03       5.495513120610e-11       3.877347462743e+17       3.185782214359e-09       1.369720691902e+44       1.452787938474e+33       7.937845498980e+33       2.985121549152e-08       9.475301620897e+43       2.317250854086e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -1.954048043495e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       2.185504879602e-05       5.734262462252e+00 
       8.341300469814e+13       1.086346313429e-25       5.557012627833e-09       1.501162076300e+22       4.616060425803e+03       5.533981712454e-11       3.850394699844e+17       3.208082689859e-09       1.332030393213e+44       1.422701580172e+33       7.773457526374e+33       2.985121549152e-08       9.214571860169e+43       2.253487579321e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -2.044520355792e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       2.272925074786e-05       5.513713906012e+00 
       8.283317249071e+13       1.101608392786e-25       5.595211405307e-09       1.480364436334e+22       4.616060425803e+03       5.572719584441e-11       3.823629294781e+17       3.230539268688e-09       1.295377210063e+44       1.393238292127e+33       7.612473929117e+33       2.985121549152e-08       8.961016542097e+43       2.191478864363e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -2.136224983788e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       2.360345269970e-05       5.309502279863e+00 
       8.225737089444e+13       1.117084889096e-25       5.634319677483e-09       1.459854934362e+22       4.616060425803e+03       5.611728621532e-11       3.797049945165e+17       3.253153043568e-09       1.259732604377e+44       1.364385170934e+33       7.454824204656e+33       2.985121549152e-08       8.714438249143e+43       2.131176429380e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -2.229197421581e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       2.447765465154e-05       5.119877198439e+00 
       8.168557189121e+13       1.132778814703e-25       5.674337444361e-09       1.439629578415e+22       4.616060425803e+03       5.651010721883e-11       3.770655357661e+17       3.275925114873e-09       1.225068823353e+44       1.336129580404e+33       7.300439310506e+33       2.985121549152e-08       8.474644996064e+43       2.072533323046e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -2.323473783175e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       2.535185660338e-05       4.943329708838e+00 
       8.111774765760e+13       1.148693224271e-25       5.713445716538e-09       1.419684431832e+22       4.616060425803e+03       5.690567796936e-11       3.744444247926e+17       3.298856590677e-09       1.191358877859e+44       1.308459146041e+33       7.149251634008e+33       2.985121549152e-08       8.241450080431e+43       2.015503885986e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -2.419090817399e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       2.622605855522e-05       4.778552051877e+00 
       8.055387056366e+13       1.164831215379e-25       5.753463483416e-09       1.400015612492e+22       4.616060425803e+03       5.730401771514e-11       3.718415340542e+17       3.321948586812e-09       1.158576521413e+44       1.281361749615e+33       7.001194962722e+33       2.985121549152e-08       8.014671937265e+43       1.960043715222e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -2.516085923118e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       2.710026050706e-05       4.624405211493e+00 
       7.999391317146e+13       1.181195929123e-25       5.794390744995e-09       1.380619292058e+22       4.616060425803e+03       5.770514583915e-11       3.692567368959e+17       3.345202226919e-09       1.126696229756e+44       1.254825523857e+33       6.856204455425e+33       2.985121549152e-08       7.794133997669e+43       1.906109629604e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -2.614497164740e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       2.797446245890e-05       4.479892548634e+00 
       7.943784823382e+13       1.197790550732e-25       5.834408511873e-09       1.361491695232e+22       4.616060425803e+03       5.810908186002e-11       3.666899075431e+17       3.368618642508e-09       1.095693180972e+44       1.228838847262e+33       6.714216613718e+33       2.985121549152e-08       7.579664551354e+43       1.853659636186e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -2.714363288027e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       2.884866441074e-05       4.344138228979e+00 
       7.888564869297e+13       1.214618310179e-25       5.875335773453e-09       1.342629099020e+22       4.616060425803e+03       5.851584543304e-11       3.641409210954e+17       3.392198973005e-09       1.065543236164e+44       1.203390339001e+33       6.575169254216e+33       2.985121549152e-08       7.371096612945e+43       1.802652897536e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -2.815723736219e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       2.972286636258e-05       4.216369457538e+00 
       7.833728767921e+13       1.231682482819e-25       5.916263035033e-09       1.324027832009e+22       4.616060425803e+03       5.892545635107e-11       3.616096535208e+17       3.415944365816e-09       1.036222920661e+44       1.178468853932e+33       6.439001481313e+33       2.985121549152e-08       7.168267791965e+43       1.753049699934e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -2.918618666468e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       3.059706831442e-05       4.095901758751e+00 
       7.779273850965e+13       1.248986390020e-25       5.958099791314e-09       1.305684273648e+22       4.616060425803e+03       5.933793454553e-11       3.590959816492e+17       3.439855976376e-09       1.007709405738e+44       1.154063477724e+33       6.305653660515e+33       2.985121549152e-08       6.971020166400e+43       1.704811422453e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -3.023088966604e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       3.147127026625e-05       3.982126709897e+00 
       7.725197468684e+13       1.266533399813e-25       5.999936547596e-09       1.287594853551e+22       4.616060425803e+03       5.975330008735e-11       3.565997831671e+17       3.463934968211e-09       9.799804908440e+43       1.130163522077e+33       6.175067392322e+33       2.985121549152e-08       6.779200159740e+43       1.657900506891e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -3.129176272228e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       3.234547221809e-05       3.874501663683e+00 
       7.671496989756e+13       1.284326927547e-25       6.041773303878e-09       1.269756050794e+22       4.616060425803e+03       6.017157318796e-11       3.541209366108e+17       3.488182512988e-09       9.530145863146e+43       1.106758520036e+33       6.047185486651e+33       2.985121549152e-08       6.592658421409e+43       1.612280428527e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -3.236922984146e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       3.321967416993e-05       3.772541093587e+00 
       7.618169801148e+13       1.302370436552e-25       6.083610060159e-09       1.252164393233e+22       4.616060425803e+03       6.059277420027e-11       3.516593213612e+17       3.512599790579e-09       9.267906965640e+43       1.083838221411e+33       5.921951937793e+33       2.985121549152e-08       6.411249710473e+43       1.567915667681e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -3.346372286146e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       3.409387612177e-05       3.675809270674e+00 
       7.565213307992e+13       1.320667438815e-25       6.126356311142e-09       1.234816456831e+22       4.616060425803e+03       6.101692361968e-11       3.492148176378e+17       3.537187989113e-09       9.012884037369e+43       1.061392588289e+33       5.799311899882e+33       2.985121549152e-08       6.234832782562e+43       1.524771682062e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -3.457568163134e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       3.496807807361e-05       3.583914038907e+00 
       7.512624933457e+13       1.339221495663e-25       6.169102562126e-09       1.217708864987e+22       4.616060425803e+03       6.144404208501e-11       3.467873064923e+17       3.561948305036e-09       8.764878518120e+43       1.039411790634e+33       5.679211662878e+33       2.985121549152e-08       6.063270279898e+43       1.482814879869e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -3.570555419626e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       3.584228002545e-05       3.496501501373e+00 
       7.460402118627e+13       1.358036218455e-25       6.212758307811e-09       1.200838287881e+22       4.616060425803e+03       6.187415037961e-11       3.443766698037e+17       3.586881943171e-09       8.523697311413e+43       1.017886201986e+33       5.561598629041e+33       2.985121549152e-08       5.896428624344e+43       1.442012593641e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -3.685379698612e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       3.671648197729e-05       3.413251465626e+00 
       7.408542322370e+13       1.377115269288e-25       6.256414053496e-09       1.184201441825e+22       4.616060425803e+03       6.230726943226e-11       3.419827902718e+17       3.611990116773e-09       8.289152634162e+43       9.968063952409e+32       5.446421289901e+33       2.985121549152e-08       5.734177913402e+43       1.402333054821e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -3.802087500801e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       3.759068392913e-05       3.333873524565e+00 
       7.357043021222e+13       1.396462361706e-25       6.300069799181e-09       1.167795088625e+22       4.616060425803e+03       6.274342031829e-11       3.396055514119e+17       3.637274047590e-09       8.061061870468e+43       9.761631385265e+32       5.333629203695e+33       2.985121549152e-08       5.576391819075e+43       1.363745369017e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -3.920726204246e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       3.846488588097e-05       3.258103671734e+00 
       7.305901709257e+13       1.416081261426e-25       6.343725544866e-09       1.151616034950e+22       4.616060425803e+03       6.318262426052e-11       3.372448375491e+17       3.662734965923e-09       7.839247429430e+43       9.559473911558e+32       5.223172973281e+33       2.985121549152e-08       5.422947489502e+43       1.326219491955e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -4.041344084369e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       3.933908783281e-05       3.185701367918e+00 
       7.255115897971e+13       1.435975787067e-25       6.388290785253e-09       1.135661131711e+22       4.616060425803e+03       6.362490263034e-11       3.349005338124e+17       3.688374110685e-09       7.623536606878e+43       9.361502996691e+32       5.115004224499e+33       2.985121549152e-08       5.273725453312e+43       1.289726206080e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -4.163990334382e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       4.021328978465e-05       3.116446990354e+00 
       7.204683116158e+13       1.456149810900e-25       6.432856025640e-09       1.119927273447e+22       4.616060425803e+03       6.407027694875e-11       3.325725261295e+17       3.714192729459e-09       7.413761450905e+43       9.167631939567e+32       5.009075584990e+33       2.985121549152e-08       5.128609526601e+43       1.254237097810e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -4.288715086129e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       4.108749173649e-05       3.050139607581e+00 
       7.154600909790e+13       1.476607259593e-25       6.478330760729e-09       1.104411397720e+22       4.616060425802e+03       6.451876888739e-11       3.302607012209e+17       3.740192078565e-09       7.209758631098e+43       8.977775834615e+32       4.905340663449e+33       2.985121549152e-08       4.987486722469e+43       1.219724535415e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -4.415569431344e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       4.196169368833e-05       2.986595032423e+00 
       7.104866841896e+13       1.497352114983e-25       6.523805495817e-09       1.089110484523e+22       4.616060425802e+03       6.497040026960e-11       3.279649465947e+17       3.766373423115e-09       7.011369311369e+43       8.791851534608e+32       4.803754029303e+33       2.985121549152e-08       4.850247163053e+43       1.186161647499e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -4.544605443333e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       4.283589564016e-05       2.925644113394e+00 
       7.055478492449e+13       1.518388414846e-25       6.569280230906e-09       1.074021555688e+22       4.616060425802e+03       6.542519307149e-11       3.256851505410e+17       3.792738037076e-09       6.818439026289e+43       8.609777614246e+32       4.704271192824e+33       2.985121549152e-08       4.716783993974e+43       1.153522302082e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -4.675876199112e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       4.371009759200e-05       2.867131231126e+00 
       7.006433458242e+13       1.539720253686e-25       6.614754965995e-09       1.059141674306e+22       4.616060425802e+03       6.588316942299e-11       3.234212021261e+17       3.819287203336e-09       6.630817560821e+43       8.431474334498e+32       4.606848585634e+33       2.985121549152e-08       4.586993301144e+43       1.121781086251e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -4.809435801973e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       4.458429954384e-05       2.810912971692e+00 
       6.957729352772e+13       1.561351783530e-25       6.661139195785e-09       1.044467944158e+22       4.616060425802e+03       6.634435160895e-11       3.211729911877e+17       3.846022213759e-09       6.448358833359e+43       8.256863607683e+32       4.511443541634e+33       2.985121549152e-08       4.460774029851e+43       1.090913286374e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -4.945339404527e-41       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       4.545850149568e-05       2.756856953006e+00 
