# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_scf            16:(.)p_scf              17:(.)w_scf              18:phi_scf               19:phi'_scf              20:V_scf                 21:V'_scf                22:V''_scf               23:gr.fac. D             24:gr.fac. f          
       1.000000000000e+14       7.558503632224e-26       4.634785000235e-09       2.157545946648e+22       1.336822105794e+04       1.336822105794e-10       1.336822105794e+18       2.675958164815e-09       2.751560535470e+44       2.451390603497e+33       1.339408137477e+34       3.239017896231e-08       1.903443976270e+44       4.655004511898e+44       3.862671347947e+00       0.000000000000e+00       0.000000000000e+00       2.794540384607e+01      -5.520389641810e-03       1.091596807527e+01       6.173168518428e+01       2.745455010385e+02       9.391865617342e-20       2.000000000000e+14 
       9.930486593843e+13       7.664693049753e-26       4.667526809499e-09       2.127654528182e+22       1.336822105794e+04       1.346179860535e-10       1.327529399994e+18       2.694689871968e-09       2.675846458098e+44       2.400623788821e+33       1.311669806183e+34       3.239017896231e-08       1.851067333040e+44       4.526913791294e+44       3.862671347947e+00      -3.862671347947e+00      -1.000000000000e+00       2.825000000000e+01      -8.396859207434e-37       1.158801404384e+01       6.469902871008e+01       2.836448488960e+02       1.310280536221e-07       1.433565615564e+02 
       9.861456399050e+13       7.772374322409e-26       4.700268618762e-09       2.098177236191e+22       1.336822105794e+04       1.355603119559e-10       1.318301290958e+18       2.713552701072e-09       2.602215788102e+44       2.350908324129e+33       1.284505918930e+34       3.239017896231e-08       1.800131926217e+44       4.402347714471e+44       3.862671347947e+00      -3.862671347947e+00      -1.000000000000e+00       2.825000000000e+01      -1.685495656552e-36       1.158801404384e+01       6.469902871008e+01       2.836448488960e+02       2.620561072440e-07       7.167828077820e+01 
       9.792906056653e+13       7.881568409264e-26       4.733010428026e-09       2.069108333218e+22       1.336822105794e+04       1.365092341396e-10       1.309137329650e+18       2.732547569979e-09       2.530611196824e+44       2.302222436600e+33       1.257904579330e+34       3.239017896231e-08       1.750598097619e+44       4.281209294592e+44       3.862671347947e+00      -3.862671347947e+00      -1.000000000000e+00       2.825000000000e+01      -2.537719881925e-36       1.158801404384e+01       6.469902871008e+01       2.836448488960e+02       3.930841608660e-07       4.778552051880e+01 
       9.724832231036e+13       7.992296563846e-26       4.765752237290e-09       2.040442161294e+22       1.336822105794e+04       1.374647987785e-10       1.300037070159e+18       2.751675402969e-09       2.460976933110e+44       2.254544804314e+33       1.231854137361e+34       3.239017896231e-08       1.702427280332e+44       4.163404213587e+44       3.862671347947e+00      -3.862671347947e+00      -1.000000000000e+00       2.825000000000e+01      -3.396653185419e-36       1.158801404384e+01       6.469902871008e+01       2.836448488960e+02       5.241122144879e-07       3.583914038910e+01 
       9.657231609767e+13       8.104580338272e-26       4.800313035958e-09       2.012173140839e+22       1.336822105794e+04       1.384270523700e-10       1.291000069671e+18       2.770937130790e-09       2.393258779894e+44       2.207854546917e+33       1.206343184268e+34       3.239017896231e-08       1.655581968676e+44       4.048840748713e+44       3.862671347947e+00      -3.862671347947e+00      -1.000000000000e+00       2.825000000000e+01      -4.262594183355e-36       1.158801404384e+01       6.469902871008e+01       2.836448488960e+02       6.551402681098e-07       2.867131231128e+01 
       9.590100903443e+13       8.218441587444e-26       4.833054845221e-09       1.984295769572e+22       1.336822105794e+04       1.393960417366e-10       1.282025888452e+18       2.790333690705e-09       2.327404011992e+44       2.162131216471e+33       1.181360547562e+34       3.239017896231e-08       1.610025689010e+44       3.937429701143e+44       3.862671347947e+00      -3.862671347947e+00      -1.000000000000e+00       2.825000000000e+01      -5.135845635502e-36       1.158801404384e+01       6.469902871008e+01       2.836448488960e+02       7.861683217317e-07       2.389276025940e+01 
       9.523436845525e+13       8.333902473306e-26       4.867615643889e-09       1.956804621446e+22       1.336822105794e+04       1.403718140287e-10       1.273114089823e+18       2.809866026540e-09       2.263361355047e+44       2.117354788506e+33       1.156895286131e+34       3.239017896231e-08       1.565722971329e+44       3.829084326512e+44       3.862671347947e+00      -3.862671347947e+00      -1.000000000000e+00       2.825000000000e+01      -6.016714562788e-36       1.158801404384e+01       6.469902871008e+01       2.836448488960e+02       9.171963753536e-07       2.047950879377e+01 
       9.457236192179e+13       8.450985469153e-26       4.900357453153e-09       1.929694345585e+22       1.336822105794e+04       1.413544167269e-10       1.264264240142e+18       2.829535088726e-09       2.201080945604e+44       2.073505653244e+33       1.132936685446e+34       3.239017896231e-08       1.522639321645e+44       3.723720267383e+44       3.862671347947e+00      -3.862671347947e+00      -1.000000000000e+00       2.825000000000e+01      -6.905512367076e-36       1.158801404384e+01       6.469902871008e+01       2.836448488960e+02       1.048224428975e-06       1.791957019455e+01 
       9.391495722125e+13       8.569713364009e-26       4.934918251820e-09       1.902959665248e+22       1.336822105794e+04       1.423438976440e-10       1.255475908781e+18       2.849341834347e-09       2.140514292293e+44       2.030564607016e+33       1.109474252871e+34       3.239017896231e-08       1.480741195137e+44       3.621255487561e+44       3.862671347947e+00      -3.862671347947e+00      -1.000000000000e+00       2.825000000000e+01      -7.802554953068e-36       1.158801404384e+01       6.469902871008e+01       2.836448488960e+02       1.179252482597e-06       1.592850683960e+01 
       9.326212236469e+13       8.690109267060e-26       4.969479050487e-09       1.876595376800e+22       1.336822105794e+04       1.433403049275e-10       1.246748668104e+18       2.869287227187e-09       2.081614238068e+44       1.988512843847e+33       1.086497713064e+34       3.239017896231e-08       1.439995970030e+44       3.521610208226e+44       3.862671347947e+00      -3.862671347947e+00      -1.000000000000e+00       2.825000000000e+01      -8.708162852378e-36       1.158801404384e+01       6.469902871008e+01       2.836448488960e+02       1.310280536219e-06       1.433565615564e+01 
       9.261382558559e+13       8.812196612153e-26       5.004039849155e-09       1.850596348697e+22       1.336822105794e+04       1.443436870620e-10       1.238082093450e+18       2.889372237778e-09       2.024334923495e+44       1.947331947224e+33       1.063997003481e+34       3.239017896231e-08       1.400371922191e+44       3.424706845811e+44       3.862671347947e+00      -3.862671347947e+00      -1.000000000000e+00       2.825000000000e+01      -9.622661349832e-36       1.158801404384e+01       6.469902871008e+01       2.836448488960e+02       1.441308589841e-06       1.303241468694e+01 
       9.197003533823e+13       8.935999162357e-26       5.040419637226e-09       1.824957520492e+22       1.336822105794e+04       1.453540928714e-10       1.229475763108e+18       2.909597843442e-09       1.968631751041e+44       1.907003882029e+33       1.041962269965e+34       3.239017896231e-08       1.361838200436e+44       3.330469951600e+44       3.862671347947e+00      -3.862671347947e+00      -1.000000000000e+00       2.825000000000e+01      -1.054638061204e-35       1.158801404384e+01       6.469902871008e+01       2.836448488960e+02       1.572336643463e-06       1.194638012970e+01 
       9.133072029615e+13       9.061541014589e-26       5.074980435893e-09       1.799673901845e+22       1.336822105794e+04       1.463715715215e-10       1.220929258300e+18       2.929965028346e-09       1.914461350357e+44       1.867510986638e+33       1.020383862434e+34       3.239017896231e-08       1.324364802505e+44       3.238826152983e+44       3.862671347947e+00      -3.862671347947e+00      -1.000000000000e+00       2.825000000000e+01      -1.147965581832e-35       1.158801404384e+01       6.469902871008e+01       2.836448488960e+02       1.703364697085e-06       1.102742781203e+01 
       9.069584935070e+13       9.188846604302e-26       5.109541234560e-09       1.774740571556e+22       1.336822105794e+04       1.473961725222e-10       1.212442163158e+18       2.950474783544e-09       1.861781544502e+44       1.828835965191e+33       9.992523306542e+33       3.239017896231e-08       1.287922551705e+44       3.149704096326e+44       3.862671347947e+00      -3.862671347947e+00      -1.000000000000e+00       2.825000000000e+01      -1.242282729395e-35       1.158801404384e+01       6.469902871008e+01       2.836448488960e+02       1.834392750706e-06       1.023975439688e+01 
       9.006539160943e+13       9.317940710246e-26       5.145921022631e-09       1.750152676602e+22       1.336822105794e+04       1.484279457299e-10       1.204014064705e+18       2.971128107029e-09       1.810551317112e+44       1.790961880015e+33       9.785584200989e+33       3.239017896231e-08       1.252483074190e+44       3.063034391418e+44       3.862671347947e+00      -3.862671347947e+00      -1.000000000000e+00       2.825000000000e+01      -1.337624064594e-35       1.158801404384e+01       6.469902871008e+01       2.836448488960e+02       1.965420804328e-06       9.557104103757e+00 
       8.943931639467e+13       9.448848459284e-26       5.182300810702e-09       1.725905431200e+22       1.336822105794e+04       1.494669413500e-10       1.195644552835e+18       2.991926003778e-09       1.760730780460e+44       1.753872144203e+33       9.582930678975e+33       3.239017896231e-08       1.218018776871e+44       2.978749557444e+44       3.862671347947e+00      -3.862671347947e+00      -1.000000000000e+00       2.825000000000e+01      -1.434024690123e-35       1.158801404384e+01       6.469902871008e+01       2.836448488960e+02       2.096448857950e-06       8.959785097272e+00 
       8.881759324197e+13       9.581595331288e-26       5.218680598773e-09       1.701994115866e+22       1.336822105794e+04       1.505132099394e-10       1.187333220293e+18       3.012869485804e-09       1.712281144399e+44       1.717550514356e+33       9.384473988662e+33       3.239017896231e-08       1.184502825932e+44       2.896783970443e+44       3.862671347947e+00      -3.862671347947e+00      -1.000000000000e+00       2.825000000000e+01      -1.531520264751e-35       1.158801404384e+01       6.469902871008e+01       2.836448488960e+02       2.227476911572e-06       8.432738915079e+00 
       8.820019189868e+13       9.716207164097e-26       5.255060386844e-09       1.678414076505e+22       1.336822105794e+04       1.515668024090e-10       1.179079662655e+18       3.033959572205e-09       1.665164686165e+44       1.681981083465e+33       9.190127216208e+33       3.239017896231e-08       1.151909125938e+44       2.817073812212e+44       3.862671347947e+00      -3.862671347947e+00      -1.000000000000e+00       2.825000000000e+01      -1.630147017657e-35       1.158801404384e+01       6.469902871008e+01       2.836448488960e+02       2.358504965194e-06       7.964253419797e+00 
       8.758708232243e+13       9.852710158545e-26       5.291440174915e-09       1.655160723501e+22       1.336822105794e+04       1.526277700258e-10       1.170883478306e+18       3.055197289210e-09       1.619344721000e+44       1.647148273944e+33       8.999805247701e+33       3.239017896231e-08       1.120212299515e+44       2.739557020621e+44       3.862671347947e+00      -3.862671347947e+00      -1.000000000000e+00       2.825000000000e+01      -1.729941763042e-35       1.158801404384e+01       6.469902871008e+01       2.836448488960e+02       2.489533018815e-06       7.545082187175e+00 
       8.697823467967e+13       9.991130883562e-26       5.329638952389e-09       1.632229530823e+22       1.336822105794e+04       1.536961644160e-10       1.162744268427e+18       3.076583670235e-09       1.574785573594e+44       1.613036830811e+33       8.813424731891e+33       3.239017896231e-08       1.089387667592e+44       2.664173241290e+44       3.862671347947e+00      -3.862671347947e+00      -1.000000000000e+00       2.825000000000e+01      -1.830941915008e-35       1.158801404384e+01       6.469902871008e+01       2.836448488960e+02       2.620561072437e-06       7.167828077816e+00 
       8.637361934426e+13       1.013149628135e-25       5.366018740460e-09       1.609616035145e+22       1.336822105794e+04       1.547720375669e-10       1.154661636969e+18       3.098119755926e-09       1.531452550306e+44       1.579631815005e+33       8.630904043679e+33       3.239017896231e-08       1.059411230189e+44       2.590863780597e+44       3.862671347947e+00      -3.862671347947e+00      -1.000000000000e+00       2.825000000000e+01      -1.933185502719e-35       1.158801404384e+01       6.469902871008e+01       2.836448488960e+02       2.751589126059e-06       6.826502931254e+00 
       8.577320689599e+13       1.027383367260e-25       5.404217517935e-09       1.587315834980e+22       1.336822105794e+04       1.558554418299e-10       1.146635190634e+18       3.119806594217e-09       1.489311912151e+44       1.546918596845e+33       8.452163248374e+33       3.239017896231e-08       1.030259647727e+44       2.519571559978e+44       3.862671347947e+00      -3.862671347947e+00      -1.000000000000e+00       2.825000000000e+01      -2.036711185848e-35       1.158801404384e+01       6.469902871008e+01       2.836448488960e+02       2.882617179680e-06       6.516207343469e+00 
       8.517696811915e+13       1.041817076187e-25       5.440597306006e-09       1.565324589818e+22       1.336822105794e+04       1.569464299227e-10       1.138664538862e+18       3.141645240377e-09       1.448330848536e+44       1.514882849619e+33       8.277124066682e+33       3.239017896231e-08       1.001910222855e+44       2.450241071488e+44       3.862671347947e+00      -3.862671347947e+00      -1.000000000000e+00       2.825000000000e+01      -2.141558270319e-35       1.158801404384e+01       6.469902871008e+01       2.836448488960e+02       3.013645233302e-06       6.232893980709e+00 
       8.458487400115e+13       1.056453564290e-25       5.478796083480e-09       1.543638019285e+22       1.336822105794e+04       1.580450549322e-10       1.130749293806e+18       3.163636757059e-09       1.408477451704e+44       1.483510543315e+33       8.105709840428e+33       3.239017896231e-08       9.743408827823e+43       2.382818334582e+44       3.862671347947e+00      -3.862671347947e+00      -1.000000000000e+00       2.825000000000e+01      -2.247766724345e-35       1.158801404384e+01       6.469902871008e+01       2.836448488960e+02       3.144673286924e-06       5.973190064846e+00 
       8.399689573103e+13       1.071295680415e-25       5.518813850358e-09       1.522251902310e+22       1.336822105794e+04       1.591513703167e-10       1.122889070313e+18       3.185782214359e-09       1.369720691902e+44       1.452787938474e+33       7.937845498980e+33       3.239017896231e-08       9.475301620897e+43       2.317250854086e+44       3.862671347947e+00      -3.862671347947e+00      -1.000000000000e+00       2.825000000000e+01      -2.355377194773e-35       1.158801404384e+01       6.469902871008e+01       2.836448488960e+02       3.275701340545e-06       5.734262462252e+00 
       8.341300469814e+13       1.086346313429e-25       5.557012627833e-09       1.501162076300e+22       1.336822105794e+04       1.602654299089e-10       1.115083485912e+18       3.208082689859e-09       1.332030393213e+44       1.422701580172e+33       7.773457526374e+33       3.239017896231e-08       9.214571860169e+43       2.253487579321e+44       3.862671347947e+00      -3.862671347947e+00      -1.000000000000e+00       2.825000000000e+01      -2.464431023747e-35       1.158801404384e+01       6.469902871008e+01       2.836448488960e+02       3.406729394167e-06       5.513713906012e+00 
       8.283317249071e+13       1.101608392786e-25       5.595211405307e-09       1.480364436334e+22       1.336822105794e+04       1.613872879183e-10       1.107332160786e+18       3.230539268688e-09       1.295377210063e+44       1.393238292127e+33       7.612473929117e+33       3.239017896231e-08       8.961016542097e+43       2.191478864363e+44       3.862671347947e+00      -3.862671347947e+00      -1.000000000000e+00       2.825000000000e+01      -2.574970265685e-35       1.158801404384e+01       6.469902871008e+01       2.836448488960e+02       3.537757447789e-06       5.309502279863e+00 
       8.225737089444e+13       1.117084889096e-25       5.635229172185e-09       1.459854934362e+22       1.336822105794e+04       1.625169989337e-10       1.099634717762e+18       3.253153043568e-09       1.259732604377e+44       1.364385170934e+33       7.454824204656e+33       3.239017896231e-08       8.714438249143e+43       2.131176429380e+44       3.862671347947e+00      -3.862671347947e+00      -1.000000000000e+00       2.825000000000e+01      -2.687037704584e-35       1.158801404384e+01       6.469902871008e+01       2.836448488960e+02       3.668785501410e-06       5.119877198439e+00 
       8.168557189121e+13       1.132778814703e-25       5.673427949660e-09       1.439629578415e+22       1.336822105794e+04       1.636546179262e-10       1.091990782286e+18       3.275925114873e-09       1.225068823353e+44       1.336129580404e+33       7.300439310506e+33       3.239017896231e-08       8.474644996064e+43       2.072533323046e+44       3.862671347947e+00      -3.862671347947e+00      -1.000000000000e+00       2.825000000000e+01      -2.800676871669e-35       1.158801404384e+01       6.469902871008e+01       2.836448488960e+02       3.799813555032e-06       4.943329708838e+00 
       8.111774765760e+13       1.148693224271e-25       5.713445716538e-09       1.419684431832e+22       1.336822105794e+04       1.648002002517e-10       1.084399982409e+18       3.298856590677e-09       1.191358877859e+44       1.308459146041e+33       7.149251634008e+33       3.239017896231e-08       8.241450080431e+43       2.015503885986e+44       3.862671347947e+00      -3.862671347947e+00      -1.000000000000e+00       2.825000000000e+01      -2.915932063368e-35       1.158801404384e+01       6.469902871008e+01       2.836448488960e+02       3.930841608654e-06       4.778552051877e+00 
       8.055387056366e+13       1.164831215379e-25       5.753463483416e-09       1.400015612492e+22       1.336822105794e+04       1.659538016535e-10       1.076861948768e+18       3.321948586812e-09       1.158576521413e+44       1.281361749615e+33       7.001194962722e+33       3.239017896231e-08       8.014671937265e+43       1.960043715222e+44       3.862671347947e+00      -3.862671347947e+00      -1.000000000000e+00       2.825000000000e+01      -3.032848359656e-35       1.158801404384e+01       6.469902871008e+01       2.836448488960e+02       4.061869662275e-06       4.624405211493e+00 
       7.999391317146e+13       1.181195929123e-25       5.793481250294e-09       1.380619292058e+22       1.336822105794e+04       1.671154782651e-10       1.069376314566e+18       3.345202226919e-09       1.126696229756e+44       1.254825523857e+33       6.856204455425e+33       3.239017896231e-08       7.794133997669e+43       1.906109629604e+44       3.862671347947e+00      -3.862671347947e+00      -1.000000000000e+00       2.825000000000e+01      -3.151471642741e-35       1.158801404384e+01       6.469902871008e+01       2.836448488960e+02       4.192897715897e-06       4.479892548634e+00 
       7.943784823382e+13       1.197790550732e-25       5.835318006575e-09       1.361491695232e+22       1.336822105794e+04       1.682852866129e-10       1.061942715557e+18       3.368618642508e-09       1.095693180972e+44       1.228838847262e+33       6.714216613718e+33       3.239017896231e-08       7.579664551354e+43       1.853659636186e+44       3.862671347947e+00      -3.862671347947e+00      -1.000000000000e+00       2.825000000000e+01      -3.271848616125e-35       1.158801404384e+01       6.469902871008e+01       2.836448488960e+02       4.323925769519e-06       4.344138228979e+00 
       7.888564869297e+13       1.214618310179e-25       5.875335773453e-09       1.342629099020e+22       1.336822105794e+04       1.694632836192e-10       1.054560790027e+18       3.392198973005e-09       1.065543236164e+44       1.203390339001e+33       6.575169254216e+33       3.239017896231e-08       7.371096612945e+43       1.802652897536e+44       3.862671347947e+00      -3.862671347947e+00      -1.000000000000e+00       2.825000000000e+01      -3.394026824034e-35       1.158801404384e+01       6.469902871008e+01       2.836448488960e+02       4.454953823140e-06       4.216369457538e+00 
       7.833728767921e+13       1.231682482819e-25       5.917172529735e-09       1.324027832009e+22       1.336822105794e+04       1.706495266045e-10       1.047230178775e+18       3.415944365816e-09       1.036222920661e+44       1.178468853932e+33       6.439001481313e+33       3.239017896231e-08       7.168267791965e+43       1.753049699934e+44       3.862671347947e+00      -3.862671347947e+00      -1.000000000000e+00       2.825000000000e+01      -3.518054671237e-35       1.158801404384e+01       6.469902871008e+01       2.836448488960e+02       4.585981876762e-06       4.095901758751e+00 
       7.779273850965e+13       1.248986390020e-25       5.957190296613e-09       1.305684273648e+22       1.336822105794e+04       1.718440732908e-10       1.039950525100e+18       3.439855976376e-09       1.007709405738e+44       1.154063477724e+33       6.305653660515e+33       3.239017896231e-08       6.971020166400e+43       1.704811422453e+44       3.862671347947e+00      -3.862671347947e+00      -1.000000000000e+00       2.825000000000e+01      -3.643981443247e-35       1.158801404384e+01       6.469902871008e+01       2.836448488960e+02       4.717009930383e-06       3.982126709897e+00 
